k, disk_time, disk_size, disk_symdiff, mem_time, mem_size, mem_symdiff
10, 946, 1043, 1840, 57, 1043, 1840
20, 1165, 1031, 1924, 86, 1031, 1924
30, 1253, 1034, 1968, 115, 1034, 1968
40, 1573, 1042, 1987, 149, 1042, 1987
50, 1584, 1025, 1985, 180, 1025, 1985
60, 1506, 1041, 2001, 193, 1041, 2001
70, 1600, 1034, 2003, 235, 1034, 2003
80, 1568, 1037, 2011, 258, 1037, 2011
90, 1829, 1029, 2007, 319, 1029, 2007
100, 1719, 1026, 1999, 314, 1026, 1999
200, 1873, 1018, 2006, 676, 1018, 2006
300, 2236, 1021, 2013, 1076, 1021, 2013
400, 2138, 1018, 2011, 1334, 1018, 2011
500, 2347, 1037, 2031, 1718, 1037, 2031
600, 2469, 1020, 2014, 2062, 1020, 2014
700, 2682, 1049, 2045, 2511, 1049, 2045
800, 2706, 1037, 2032, 2827, 1037, 2032
900, 2770, 1024, 2019, 3256, 1024, 2019
1000, 2784, 1013, 2008, 3586, 1013, 2008
2000, 3671, 1011, 2008, 7932, 1011, 2008
3000, 4029, 1009, 2006, 12020, 1009, 2006
4000, 3538, 1002, 2000, 15702, 1002, 2000
5000, 3063, 1000, 1997, 20125, 1000, 1997
6000, 2514, 1002, 1999, 24202, 1002, 1999
7000, 2347, 1000, 1998, 30159, 1000, 1998
8000, 1796, 1000, 1997, 32378, 1000, 1997
9000, 1687, 1000, 1998, 37197, 1000, 1998
10000, 1583, 1000, 1998, 42036, 1000, 1998
