id, k, disk_time, disk_size, disk_symdiff, mem_time, mem_size, mem_symdiff
0, 10, 1023, 1037, 1839, 66, 1037, 1839
1, 10, 1005, 1055, 1839, 66, 1055, 1839
2, 10, 927, 1017, 1811, 61, 1017, 1811
3, 10, 974, 1062, 1854, 56, 1062, 1854
4, 10, 856, 1015, 1827, 60, 1015, 1827
5, 10, 1030, 1025, 1825, 60, 1025, 1825
6, 10, 990, 1049, 1835, 58, 1049, 1835
7, 10, 866, 1075, 1867, 48, 1075, 1867
8, 10, 881, 1084, 1882, 49, 1084, 1882
9, 10, 915, 1020, 1822, 55, 1020, 1822
10, 20, 1300, 1075, 1951, 84, 1075, 1951
11, 20, 1179, 1008, 1910, 96, 1008, 1910
12, 20, 1112, 1022, 1906, 86, 1022, 1906
13, 20, 1087, 1018, 1932, 85, 1018, 1932
14, 20, 1088, 1027, 1905, 82, 1027, 1905
15, 20, 1198, 1025, 1931, 87, 1025, 1931
16, 20, 1093, 1022, 1910, 89, 1022, 1910
17, 20, 1258, 1049, 1925, 89, 1049, 1925
18, 20, 1193, 1032, 1934, 82, 1032, 1934
19, 20, 1151, 1039, 1941, 82, 1039, 1941
20, 30, 1223, 1076, 1992, 147, 1076, 1992
21, 30, 1335, 1083, 2037, 105, 1083, 2037
22, 30, 1205, 1023, 1965, 125, 1023, 1965
23, 30, 1209, 1034, 1978, 108, 1034, 1978
24, 30, 1121, 1016, 1946, 117, 1016, 1946
25, 30, 1240, 1000, 1936, 108, 1000, 1936
26, 30, 1286, 1011, 1939, 117, 1011, 1939
27, 30, 1170, 1025, 1943, 107, 1025, 1943
28, 30, 1315, 1055, 1983, 109, 1055, 1983
29, 30, 1432, 1026, 1962, 116, 1026, 1962
30, 40, 1531, 1149, 2101, 123, 1149, 2101
31, 40, 1295, 1008, 1942, 158, 1008, 1942
32, 40, 1545, 1035, 1979, 152, 1035, 1979
33, 40, 1533, 1040, 1992, 156, 1040, 1992
34, 40, 1516, 1032, 1986, 143, 1032, 1986
35, 40, 1615, 1021, 1959, 159, 1021, 1959
36, 40, 1729, 1032, 1970, 165, 1032, 1970
37, 40, 1664, 1029, 1957, 148, 1029, 1957
38, 40, 1629, 1043, 1995, 149, 1043, 1995
39, 40, 1679, 1037, 1991, 143, 1037, 1991
40, 50, 1485, 1036, 1980, 199, 1036, 1980
41, 50, 1545, 1018, 1980, 193, 1018, 1980
42, 50, 1522, 1028, 1992, 175, 1028, 1992
43, 50, 1754, 1091, 2053, 170, 1091, 2053
44, 50, 1736, 1026, 1994, 190, 1026, 1994
45, 50, 1727, 1000, 1958, 163, 1000, 1958
46, 50, 1539, 1015, 1979, 178, 1015, 1979
47, 50, 1439, 1013, 1973, 188, 1013, 1973
48, 50, 1448, 1025, 1993, 165, 1025, 1993
49, 50, 1654, 1005, 1951, 182, 1005, 1951
50, 60, 1526, 1097, 2041, 207, 1097, 2041
51, 60, 1319, 1032, 1972, 183, 1032, 1972
52, 60, 1472, 1003, 1961, 203, 1003, 1961
53, 60, 1650, 1082, 2056, 180, 1082, 2056
54, 60, 1600, 1061, 2027, 194, 1061, 2027
55, 60, 1562, 1025, 1973, 196, 1025, 1973
56, 60, 1358, 1031, 2001, 192, 1031, 2001
